cela	horni	kvety	biomasa
4.1	2	1	0.0117
12.1	5.8	1	0.0377
9.9	5.7	3	0.0428
4.8	2.3	2	0.0168
4.4	2.4	1	0.007
4.8	2.3	0	0.0065
10.7	5.9	1	0.0286
6	3.7	2	0.0198
11.8	5.6	1	0.0414
11	5.7	2	0.0405
7.5	4.6	6	0.0247
10.8	6.3	6	0.0331
9.8	5.2	6	0.0361
11	5.2	6	0.0453
8.3	3.4	4	0.014
9	3.9	5	0.0233
9.1	4.1	5	0.0276
9.9	5.8	6	0.0298
9.8	4.8	7	0.0497
6.5	2.7	2	0.0166
5.5	2.1	1	0.018
14.6	7.9	11	0.0834
8.5	5.1	1	0.0221
7.4	3.8	4	0.0153
7.1	3.7	7	0.0505
7.3	5.3	5	0.0204
6.4	2.1	4	0.022
6.3	3.7	7	0.0216
5.2	2.6	4	0.0158
8.3	4	6	0.0308
11.6	5.5	10	0.061
8.5	4.8	7	0.0282
9.6	4.7	7	0.0436
11.3	5.7	5	0.0515
7.1	4.4	2	0.0339
8.2	4.1	2	0.0267
10.5	5.8	3	0.0595
7	2	0	0.0148
