	nadmv	orient	expoz	E3	E2	E1	E0	pocetdr	paseka	geologie	humus	strom	stari
310323	350	-1	10	0	0	50	2	28	1	1	mor	buk	4
310324	325	-1	10	0	0	40	10	47	1	1	mor	smrk	2
310325	435	-1	7	0	0	65	10	22	1	2	mor	buk	3
310326	525	-1	15	0	0	40	0	18	1	2	mull	buk	
310335	500	1	25	0	0	40	0	17	1	4	mull	buk	5
310340	500	0	0	0	0	70	10	24	1	2	mor	smrk	2
310342	525	-1	7	0	0	95	10	20	1	2	mor	smrk	3
310420	310	0	0	0	70	80	40	50	1	2	mull	olsejasan	5
310421	325	0	0	0	0	65	5	55	1	2	mor	smrk	2
310437	410	-1	15	0	80	80	30	36	1	2	moder	smrk	10
310439	425	-1	35	0	0	80	30	41	1	1	mull	buk	3
310440	460	0	25	0	0	20	5	7	1	1	mor	buk	1
310468	390	1	5	0	0	60	10	29	1	1	mor	smrk	3
310469	390	0	0	0	0	15	95	14	0	1	mull	olsejasan	2
310471	325	-1	15	0	0	100	40	38	1	1	moder	smrk	8
310473	425	-1	10	0	0	100	90	16	1	1	mor	smrk	9
310474	460	1	25	0	0	50	15	24	1	1	mor	smrk	
310476	410	-1	12	0	80	90	95	36	1	2	moder	smrk	3
310477	370	-1	30	0	0	85	10	28	1	2	mor	buk	4
310480	495	0	20	0	0	100	15	30	1	2	mull	olsejasan	3
310481	550	0	20	0	0	100	25	43	1	2	mull	olsejasan	2
310484	430	0	10	0	0	100	2	29	1	1	mull	olsejasan	7
310489	360	0	18	0	0	15	2	10	1	2	mor	smrk	
310491	550	-1	30	0	0	100	30	33	1	3	mull	buk	2
310493	560	0	35	0	0	80	15	27	1	3	moder	buk	2
310495	460	-1	5	0	15	100	10	21	1	2	moder	smrk	8
310496	400	-1	8	5	50	60	40	35	1	1	mor	smrk	16
310499	410	-1	20	0	10	100	15	25	1	2	moder	smrk	5
310500	495	1	5	0	0	90	20	23	1	2	mor	smrk	3
310503	530	1	20	0	0	10	60	5	0	2	mull	olsejasan	1
310504	535	1	20	0	0	15	90	13	0	2	mull	olsejasan	1
