Lot cor	Sanq min	Bro ere	Bra pin	Veron teu	Pla med	Cen jac	Sta rec	Astrag gly	Tan cor	Med fal	Leo his	Anth vul	Cen sca	Astrag cic	Sca och	Thy pul	Sal pra	Sal vertc	Agrim eup	Pru gra	L f	Asper tin	Bup fal	Inu hir	Asper cyn	Cx tom	L t	Teu cha	Cam glo	Cor var	Inu sal	Cam Gent	Cirsi pan	Tri mon	Pri ver	Tri med	Hel gra	Cx fla 
0.721	0.05	0.077	0.014	0	0	0.025	0	0	0	0.008	0	1.166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0	0	0	0	0	0	0	0	0	0
49.26	7.194	6.737	1.967	0.12	0.473	21.151	3.649	0.066	5.595	1.364	8.177	1.918	11.732	0	0.4	0.166	4.323	10.5	0	0	0	0.09	0.009	0.106	0	0	0	0	0.028	0	0.037	0	0	0	0	0	0.013	0
0.31	0.14	0.027	0.012	0	0	0.01	0	0.003	0	0.05	0	0.889	0.015	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.025	0	0	0	0
60.4	3.922	5.679	2.135	0.39	0.936	7.273	0.477	0.21	0.143	0.952	3.892	1.962	0.942	0.014	0.043	0.493	0.38	3.93	0.035	0.036	0.01	0	0	0	0	0	0.01	0.06	0	0	0	0	0	0	0	0	0.051	0
1.04	0.122	0.03	0.01	0.015	0	0.03	0	0.01	0	0	0.01	1.549	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0
56.31	5.761	4.267	2.338	0.49	0.624	15.561	1.859	0.317	0.903	0.942	3.938	6.4	0	0	0.34	0.316	0.862	4.414	0	0	0.002	0	0	0	0	0	0.002	0	0	0	0.048	0.016	0	0	0	0.222	0	0
0.448	0.188	0.031	0.004	0	0	0	0	0.01	0	0	0	1.157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69.336	5.648	3.568	2.211	0.028	0.373	6.49	2.094	0.168	0.837	0.818	2.9	2.47	4.305	0.11	0	0.092	1.258	2.525	0	0	0.024	0.02	0.056	0	0.018	0	0	0.176	0	0	0	0	0	0	0	0.222	0	0
0.26	0.117	0.028	0.002	0	0	0	0	0	0	0	0	0.432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57.14	13.215	1.825	1.543	0.068	0.213	7.691	3.396	0.092	0.474	0.356	4.274	3.029	4.673	0	0	0.084	3.099	5.735	0.076	0	0	0.026	0.209	0.012	0	0	0	0	0	0	0	0	0.043	0	0	0	0	0
0.358	0.122	0.032	0.005	0	0	0.035	0	0	0	0.01	0	0.446	0	0	0.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50.9	12.2	4.853	2.81	0.125	0.206	12.256	4.282	1.027	2.549	0.276	7.888	4.1	4.386	0	0.07	0.58	1.91	2.328	0.025	0.044	0.002	0.02	0	0	0	0	0	0.051	0	0	0	0	0	0	0	0	0	0
0.874	0.077	0.01	0.005	0	0	0.005	0	0	0	0	0	0.845	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43.457	3.39	4.583	2.018	0.176	0.968	15.338	2.67	0.35	1.073	1.225	7.678	6.895	6.762	0.88	0.242	0.215	3.947	5.2	0.02	0	0	0.042	0	0.012	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0
0.03	0.014	0.014	0	0	0	0	0	0	0	0	0	0.153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62.926	7.553	2.097	0.892	0.23	0.55	1.09	0.588	0.726	0.152	0.96	2.8	4.088	2.19	0.84	0.135	0.21	1	1.345	0.03	0.202	0.01	0	0	0.011	0.03	0	0	0.039	0.004	0	0	0.004	0.02	0	0	0	0	0
0.336	0.036	0.02	0.003	0	0	0	0	0.01	0	0	0	0.879	0.012	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0
40.26	13.36	5.782	2.61	0.044	0.613	14.317	3.329	0.017	1.015	0.38	8.434	3.001	5.615	0.037	1.252	0.32	2.876	8.852	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.123	0	0	0	0
0.572	0.096	0.106	0.019	0	0	0.016	0	0.001	0	0.016	0	1.006	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
